id;source;noun;marche_uso;derived;selected
1;item;acredine;CO;latin_deadjectival;y
2;item;acrimonia;CO;latin_deadjectival;y
3;item;afflizione;CO;deverbal;n
4;item;agio;AU;no;y
5;item;agitazione;AU;deverbal;n
6;item;alienazione;TS;deverbal;n
7;item;allegrezza;BU;deadjectival;n
8;item;allegria;AU;deadjectival;n
9;item;amarezza;AU;deadjectival;n
10;item;ammirazione;AU;deverbal;n
11;item;amore;FO;latin_deverbal;y
12;item;angoscia;AU;latin_deadjectival;y
13;item;animosita';CO;deadjectival;n
14;item;ansia;FO;latin_deadjectival;y
15;item;ansieta';CO;latin_deadjectival;y
16;item;antipatia;AU;no;y
17;item;apatia;CO;no;y
18;item;appagamento;CO;deverbal;n
19;item;apprensione;CO;no;y
20;item;apprezzamento;CO;deverbal;n
21;item;aridita';CO;deadjectival;n
22;item;astio;CO;no;y
23;item;attrazione;AU;deverbal;n
24;item;avversione;CO;latin_deverbal;y
25;item;beatitudine;CO;deadjectival;n
26;item;biasimo;CO;deverbal;n
27;item;commiserazione;CO;deverbal;n
28;item;commozione;AU;deverbal;n
29;item;compassione;AD;deverbal;n
30;item;compiacimento;CO;deverbal;n
31;item;confusione;AU;deverbal;n
32;item;consapevolezza;CO;deadjectival;n
33;item;contentezza;CO;deadjectival;n
34;item;contrarieta';CO;deadjectival;n
35;item;convinzione;AU;deverbal;n
36;item;coraggio;FO;no;y
37;item;cordoglio;CO;no;y
38;item;costernazione;CO;deverbal;n
39;item;curiosita';FO;deadjectival;n
40;item;delusione;AU;deverbal;n
41;item;depressione;AU;deverbal;n
42;item;desiderio;AU;latin_deverbal;y
43;item;desolazione;CO;deverbal;n
44;item;determinatezza;CO;deadjectival;n
45;item;diffidenza;AD;latin_deadjectival;y
46;item;disaffezione;CO;latin_denominal_deverbal;y
47;item;disagio;AU;no;y
48;item;disamore;CO;denominal;y
49;item;disapprovazione;CO;deverbal;n
50;item;disappunto;CO;no;y
51;item;disdegno;LE;deverbal;n
52;item;disgusto;CO;no;y
53;item;disillusione;CO;deverbal;n
54;item;disincanto;CO;deverbal;n
55;item;disinteresse;AU;no;y
56;item;disistima;CO;deverbal;n
57;item;disorientamento;CO;deverbal;n
58;item;disperazione;FO;deverbal;n
59;item;dispiacere;AU;deverbal;n
60;item;disprezzo;AU;deverbal;n
61;item;distacco;AU;deverbal;n
62;item;divertimento;AU;deverbal;n
63;item;dolore;FO;latin_deverbal;y
64;item;dubbio;FO;latin_deadjectival;y
65;item;eccitazione;CO;latin_deverbal;y
66;item;emozione;FO;latin_deverbal;y
67;item;empatia;CO/TS;no;y
68;item;entusiasmo;FO;no;y
69;item;esaltazione;AD;deverbal;n
70;item;esasperazione;CO;deverbal;n
71;item;estasi;CO;no;y
72;item;euforia;CO;no;y
73;item;fastidio;FO;no;y
74;item;fervore;CO;deverbal;n
75;item;fiducia;FO;latin_deverbal;y
76;item;fierezza;CO;deadjectival;n
77;item;fifa;AU;no;y
78;item;foga;CO;no;y
79;item;freddezza;CO;deadjectival;n
80;item;frenesia;CO;no;y
81;item;frustrazione;CO;deverbal;n
82;item;furia;AU;latin_deverbal;y
83;item;gaudio;CO;latin_deverbal;y
84;item;gelosia;AU;deadjectival;n
85;item;gioia;FO;no;y
86;item;giubilo;CO;latin_deverbal;y
87;item;godimento;CO;deverbal;n
88;item;gratificazione;CO;deverbal;n
89;item;gratitudine;CO;deadjectival;n
90;item;ilarita';CO;deadjectival;n
91;item;imbarazzo;AU;deverbal;n
92;item;impazienza;AU;latin_denominal_deadjectival;y
93;item;impressione;FO;no;y
94;item;incanto;CO;deverbal;n
95;item;incertezza;AU;deadjectival;n
96;item;incredulita';CO;deadjectival;n
97;item;indifferenza;CO;no;y
98;item;indignazione;AU;deverbal;n
99;item;infelicita';CO;deadjectival;n
100;item;inquietudine;CO;latin_deadjectival;y
101;item;insicurezza;CO;deadjectival;n
102;item;insoddisfazione;CO;deverbal;n
103;item;insofferenza;CO;deverbal;n
104;item;interesse;FO;no;y
105;item;invidia;AU;latin_deverbal;y
106;item;ira;AU;no;y
107;item;irrequietezza;CO;deadjectival;n
108;item;irritazione;CO;deverbal;n
109;item;isteria;CO;deadjectival;n
110;item;livore;CO;latin_deverbal;y
111;item;magone;CO;no;y
112;item;malcontento;AU;compound;y
113;item;malessere;CO;from_locution;y
114;item;malinconia;AU;no;y
115;item;malumore;CO;from_locution;y
116;item;melanconia;LE/TS;no;y
117;item;meraviglia;FO;no;y
118;item;mestizia;CO;deadjectival;n
119;item;nausea;CO;no;y
120;item;negativita';CO;deadjectival;n
121;item;nervosismo;AD;deadjectival;n
122;item;noia;FO;no;y
123;item;nostalgia;AU;no;y
124;item;odio;FO;latin_deverbal;y
125;item;orrore;FO;latin_deverbal;y
126;item;panico;CO;no;y
127;item;paranoia;CO;no;y
128;item;passione;FO;no;y
129;item;paura;FO;latin_deverbal;y
131;item;perplessita';CO;deadjectival;n
132;item;pessimismo;CO;deadjectival;n
133;item;piacere;FO;deverbal;n
134;item;pieta';FO;no;y
135;item;positivita';CO;deadjectival;n
136;item;preoccupazione;FO;deverbal;n
137;item;prostrazione;CO;deverbal;n
138;item;rabbia;FO;no;y
139;item;raccapriccio;CO;deverbal;n
140;item;rammarico;CO;deverbal;n
141;item;rancore;FO;latin_deverbal;y
142;item;rassegnazione;AD;deverbal;n
143;item;repulsione;CO;deverbal;n
144;item;ribrezzo;CO;no;y
145;item;riconoscenza;AU;deverbal;n
146;item;riluttanza;CO;deverbal;n
147;item;rimorso;AU;latin_deverbal;y
148;item;rimpianto;AU;deverbal;n
149;item;riprovazione;CO;deverbal;n
150;item;risentimento;AU;deverbal;n
151;item;sbigottimento;CO;deverbal;n
152;item;scalpore;CO;deverbal;n
153;item;schifo;FO;no;y
154;item;scompiglio;CO;deverbal;n
155;item;sconcerto;CO;deverbal;n
156;item;sconforto;AU;deverbal;n
157;item;scontento;CO;deverbal;n
158;item;scoraggiamento;CO;deverbal;n
159;item;scoramento;CO;deverbal;n
160;item;sdegno;CO;deverbal;n
161;item;serenita';AU;deadjectival;n
162;item;sfiducia;AD;denominal_from_deverbal;n
163;item;sgomento;AD;deverbal;n
164;item;shock;CO;no;y
165;item;sicurezza;FO;deadjectival;n
166;item;simpatia;FO;no;y
167;item;smania;CO;deverbal;n
168;item;smarrimento;CO;deverbal;n
169;item;soddisfazione;FO;deverbal;n
170;item;sofferenza;FO;deverbal;n
171;item;soggezione;AD;latin_deverbal;y
172;item;sollazzo;CO;latin_deverbal;y
173;item;sollievo;AU;deverbal;n
174;item;sorpresa;FO;deadjectival;n
175;item;spaesamento;CO;deverbal;n
176;item;spavento;AU;deverbal;n
177;item;spensieratezza;CO;deadjectival;n
178;item;speranza;FO;deverbal;n
179;item;spiazzamento;FO;deverbal;n
180;item;spregio;CO;deverbal;n
181;item;sprezzo;CO;deverbal;n
182;item;stanchezza;AU;deadjectival;n
183;item;stima;AU;deverbal;n
184;item;stizza;CO;no;y
185;item;stordimento;CO;deverbal;n
186;item;straniamento;TS;deverbal;n
187;item;strazio;AU;no;y
188;item;stupore;AU;latin_deverbal;y
189;item;tenerezza;FO;deadjectival;n
190;item;tensione;AU;deverbal;n
191;item;terrore;AU;latin_deverbal;y
192;item;timore;FO;latin_deverbal;y
193;item;tormento;AU;latin_deverbal;y
194;item;tranquillita';AD;deverbal;n
195;item;trepidazione;CO;deverbal;n
196;item;tristezza;AU;deadjectival;n
197;item;turbamento;CO;deverbal;n
198;item;vergogna;FO;no;y
199;item;voglia;FO;deverbal;n
200;item;voltastomaco;CO;compound;n
201;zammuner;adorazione;CO;deverbal;n
202;zammuner;affetto;FO;latin_deverbal;y
203;zammuner;sbalordimento;CO;deverbal;n
204;zammuner;affanno;AD;deverbal;n
205;zammuner;calma;FO;no;y
206;zammuner;letizia;CO;latin_deadjectival;y
207;zammuner;scontentezza;CO;denominal_from_deverbal;n
208;zammuner;felicita';FO;deadjectival;n
209;zammuner;ostilita';CO;deadjectival;n
210;zammuner;infatuazione;CO;deverbal;n
211;zammuner;irrequietudine;BU;deadjectival;n
212;zammuner;ripugnanza;CO;deverbal;n
213;zammuner;struggimento;CO;deverbal;n
214;zammuner;orgoglio;AU;no;y
215;zammuner;collera;AU;no;y
216;zammuner;patimento;CO;deverbal;n
217;zammuner;venerazione;CO;deverbal;n
218;zammuner;pena;FO;no;y
