noun;freq_noun;SV_stative_conversion;SV_stative_conversion+si;SV_stative_parasyntesis + si;SV_stative_suffixation;LVC_stative_essere_in;LVC_stative_avere;LVC_stative_provare;LVC_stative_sentire;SV_inchoative_conversion+si;SV_inchoative_parasynthesis+si;LVC_inchoative_prendere;LVC_inchoative_andare_in;LVC_inchoative_farsi;SV_causative_conversion;SV_causative_parasynthesis1;SV_causative_parasynthesis2;SV_causative_suffixation;LVC_causative_fare;LVC_causative_dare;LVC_causative_mettere
interesse;260748;;interessarsi;;; ;avere interesse;provare interesse; ;interessarsi;;prendere interesse;;;interessare;;;;;; 
amore;186567;;;;;;avere amore;provare amore;sentire amore;;innamorarsi;;;;;;;;;;
dubbio;93128;;;;;essere in dubbio;; ;;;; ;;;;;;; ;;
paura;89449;;;;; ;avere paura;provare paura;sentire paura;;impaurirsi;prendere paura;;;;impaurire;spaurire;;fare paura;dare paura;mettere paura
pena;71264;penare;;;;essere in pena;avere pena;provare pena;sentire pena;;;prendersi pena;;;;;;;fare pena;dare pena;
dolore;62615;;;;; ;avere dolore;provare dolore;sentire dolore;;addolorarsi; ;;;;addolorare;;;fare dolore;dare dolore; 
desiderio;60228;;;;; ;avere desiderio;provare desiderio;sentire desiderio;;; ;;;;;;;;; 
passione;57830;;;;; ;avere passione;provare passione;sentire passione;;appassionarsi; ;;;;appassionare;;; ; ;
fiducia;49372;;;;; ;avere fiducia;provare fiducia; ;;;prendere fiducia;;;;;;;;dare fiducia;mettere fiducia
emozione;42927;;;;; ;avere emozione;provare emozione;sentire emozione;emozionarsi;; ;;;emozionare;;;; ;dare emozione;
gioia;38299;gioire ;;;; ;avere gioia;provare gioia;sentire gioia;;; ;;;;;;;;dare gioia;mettere gioia
coraggio;36178;;;;; ;avere coraggio; ; ;;;prendere coraggio;;farsi coraggio;;incoraggiare;;;fare coraggio;dare coraggio;mettere coraggio
disagio;35960;;;;; ;avere disagio;provare disagio;sentire disagio;;; ;;;;;;; ;dare disagio; 
affetto;32689;;;;; ;avere affetto;provare affetto;sentire affetto;;; ;;;;;;; ;; 
impressione;28761;;;;; ;avere impressione; ; ;impressionarsi;; ;;;impressionare;;;;fare impressione;dare impressione;
timore;23920;;;;; ;avere timore;provare timore;sentire timore;;intimorirsi; ;;;;intimorire;;;fare timore;dare timore; 
odio;21089;odiare;;;;;avere odio;provare odio;sentire odio;;; ;;;;;;;; ; 
entusiasmo;20138;;;;; ;avere entusiasmo; ; ;entusiasmarsi;; ;;;entusiasmare;;;; ;dare entusiasmo;mettere entusiasmo
rabbia;17841;;;;; ;avere rabbia;provare rabbia;sentire rabbia;;arrabbiarsi; ;;;;;;;fare rabbia; ;mettere rabbia
ansia;17189;;;;;essere in ansia;avere ansia;provare ansia; ;;; ;andare in ansia;;;;;; ;dare ansia;mettere ansia
terrore;15715;;;;; ;avere terrore;provare terrore; ;;; ;;;;;;terrorizzare;fare terrore; ;mettere terrore
orgoglio;14651;;;;; ;avere orgoglio;provare orgoglio; ;;inorgoglirsi; ;;;;inorgoglire;;; ;dare orgoglio; 
orrore;14249;;;;; ;avere orrore;provare orrore;sentire orrore;;; ;;;;;;;fare orrore; ;mettere orrore
calma;13528;;;;; ;avere calma; ; ;calmarsi;;;;;calmare;;;; ;dare calma; 
pietà ;13030;;;;; ;avere pietà;provare pietà;sentire pietà ;;; ;;;;;;;fare pietà; ; 
