pred1;pred2;n;aspc1;aspc2
provare;fare;19;stative;causative
avere;dare;20;stative;causative
avere;fare;16;stative;causative
provare;dare;18;stative;causative
sentire;fare;12;stative;causative
provare;mettere;13;stative;causative
avere;mettere;13;stative;causative
sentire;dare;10;stative;causative
avere;conversion_causative;10;stative;causative
provare;parasynthesis;8;stative;causative
provare;conversion_causative;7;stative;causative
sentire;mettere;7;stative;causative
avere;parasynthesis;7;stative;causative
conversion_stative;fare;3;stative;causative
conversion+si_stative;conversion_causative;5;stative;causative
sentire;parasynthesis;5;stative;causative
conversion+si_stative;dare;3;stative;causative
conversion_stative;dare;3;stative;causative
essere_in;dare;3;stative;causative
suffixation_stative;fare;2;stative;causative
conversion+si_stative;mettere;2;stative;causative
sentire;conversion_causative;2;stative;causative
essere_in;mettere;2;stative;causative
essere_in;conversion_causative;2;stative;causative
parasynthesis+si_stative;dare;1;stative;causative
parasynthesis+si_stative;fare;1;stative;causative
parasynthesis+si_stative;parasynthesis;1;stative;causative
conversion_stative;mettere;1;stative;causative
conversion_stative;conversion_causative;1;stative;causative
conversion+si_stative;fare;1;stative;causative
essere_in;fare;1;stative;causative
essere_in;parasynthesis;1;stative;causative
avere;parasynthesis+si_inchoative;10;stative;inchoative
avere;conversion+si_inchoative;9;stative;inchoative
provare;conversion+si_inchoative;9;stative;inchoative
provare;parasynthesis+si_inchoative;9;stative;inchoative
sentire;parasynthesis+si_inchoative;7;stative;inchoative
essere_in;andare_in;6;stative;inchoative
avere;prendere;5;stative;inchoative
provare;prendere;4;stative;inchoative
sentire;conversion+si_inchoative;4;stative;inchoative
avere;andare_in;3;stative;inchoative
conversion+si_stative;conversion+si_inchoative;3;stative;inchoative
essere_in;conversion+si_inchoative;2;stative;inchoative
essere_in;parasynthesis+si_inchoative;2;stative;inchoative
provare;andare_in;2;stative;inchoative
sentire;prendere;2;stative;inchoative
avere;farsi;1;stative;inchoative
essere_in;prendere;1;stative;inchoative
provare;farsi;1;stative;inchoative
conversion_stative;prendere;1;stative;inchoative
conversion+si_stative;prendere;1;stative;inchoative
conversion+si_inchoative;conversion_causative;11;inchoative;causative
parasynthesis+si_inchoative;parasynthesis;10;inchoative;causative
conversion+si_inchoative;dare;8;inchoative;causative
parasynthesis+si_inchoative;fare;6;inchoative;causative
parasynthesis+si_inchoative;dare;6;inchoative;causative
prendere;dare;5;inchoative;causative
prendere;fare;3;inchoative;causative
conversion+si_inchoative;fare;4;inchoative;causative
parasynthesis+si_inchoative;mettere;3;inchoative;causative
prendere;mettere;3;inchoative;causative
conversion+si_inchoative;mettere;3;inchoative;causative
andare_in;parasynthesis;2;inchoative;causative
prendere;parasynthesis;2;inchoative;causative
andare_in;dare;1;inchoative;causative
andare_in;mettere;1;inchoative;causative
farsi;dare;1;inchoative;causative
farsi;fare;1;inchoative;causative
farsi;mettere;1;inchoative;causative
farsi;parasynthesis;1;inchoative;causative
prendere;conversion_causative;1;inchoative;causative
