"noun","cxn","event_type","PhoneSyll","NumPhones","SumSylls","PhonVCV","InitialPhoneme","InitialSyll","SonorityScale","SonorityScaleRank","SonoritySimpleRank","SonoritySimple"
"affetto","sentire_LVC","stative","af.fEt.to",7,3,"VGGVGGV","a","VG","vowel",1,1,"vowel"
"affetto","avere_LVC","stative","af.fEt.to",7,3,"VGGVGGV","a","VG","vowel",1,1,"vowel"
"affetto","provare_LVC","stative","af.fEt.to",7,3,"VGGVGGV","a","VG","vowel",1,1,"vowel"
"agio","conversion_caus","causative","a.go",3,2,"VCV","a","V","vowel",1,1,"vowel"
"agio","avere_LVC","stative","a.go",3,2,"VCV","a","V","vowel",1,1,"vowel"
"amore","provare_LVC","stative","a.mo.re",5,3,"VCVCV","a","V","vowel",1,1,"vowel"
"amore","conversion_si","inchoative","a.mo.re",5,3,"VCVCV","a","V","vowel",1,1,"vowel"
"amore","parasynthesis_si","inchoative","a.mo.re",5,3,"VCVCV","a","V","vowel",1,1,"vowel"
"amore","avere_LVC","stative","a.mo.re",5,3,"VCVCV","a","V","vowel",1,1,"vowel"
"amore","sentire_LVC","stative","a.mo.re",5,3,"VCVCV","a","V","vowel",1,1,"vowel"
"angoscia","provare_LVC","stative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","dare_LVC","causative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","essere_in_LVC","stative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","conversion_caus","causative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","conversion_si","inchoative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","mettere_LVC","causative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"angoscia","conversion_si_stat","stative","an.GOS.Sa",7,3,"VCCVGGV","a","VC","vowel",1,1,"vowel"
"ansia","essere_in_LVC","stative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"ansia","provare_LVC","stative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"ansia","avere_LVC","stative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"ansia","dare_LVC","causative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"ansia","mettere_LVC","causative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"ansia","andare_in_LVC","inchoative","an.sja",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"antipatia","avere_LVC","stative","an.ti.pa.ti.a",9,5,"VCCVCVCVV","a","VC","vowel",1,1,"vowel"
"antipatia","fare_LVC","causative","an.ti.pa.ti.a",9,5,"VCCVCVCVV","a","VC","vowel",1,1,"vowel"
"antipatia","provare_LVC","stative","an.ti.pa.ti.a",9,5,"VCCVCVCVV","a","VC","vowel",1,1,"vowel"
"antipatia","suffixation_stat","stative","an.ti.pa.ti.a",9,5,"VCCVCVCVV","a","VC","vowel",1,1,"vowel"
"apprensione","essere_in_LVC","stative","ap.pren.sjo.ne",11,4,"VGGCVCCCVCV","a","VG","vowel",1,1,"vowel"
"astio","provare_LVC","stative","as.tjo",5,2,"VCCCV","a","VC","vowel",1,1,"vowel"
"avversione","provare_LVC","stative","av.ver.sjo.ne",10,4,"VGGVCCCVCV","a","VG","vowel",1,1,"vowel"
"avversione","avere_LVC","stative","av.ver.sjo.ne",10,4,"VGGVCCCVCV","a","VG","vowel",1,1,"vowel"
"avversione","sentire_LVC","stative","av.ver.sjo.ne",10,4,"VGGVCCCVCV","a","VG","vowel",1,1,"vowel"
"calma","dare_LVC","causative","kal.ma",5,2,"CVCCV","k","CVC","plosive",7,3,"obstruent"
"calma","avere_LVC","stative","kal.ma",5,2,"CVCCV","k","CVC","plosive",7,3,"obstruent"
"calma","conversion_si","inchoative","kal.ma",5,2,"CVCCV","k","CVC","plosive",7,3,"obstruent"
"calma","conversion_caus","causative","kal.ma",5,2,"CVCCV","k","CVC","plosive",7,3,"obstruent"
"collera","essere_in_LVC","stative","kOl.le.ra",7,3,"CVGGVCV","k","CVG","plosive",7,3,"obstruent"
"collera","andare_in_LVC","inchoative","kOl.le.ra",7,3,"CVGGVCV","k","CVG","plosive",7,3,"obstruent"
"collera","parasynthesis_caus","causative","kOl.le.ra",7,3,"CVGGVCV","k","CVG","plosive",7,3,"obstruent"
"collera","parasynthesis_si","inchoative","kOl.le.ra",7,3,"CVGGVCV","k","CVG","plosive",7,3,"obstruent"
"coraggio","prendere_LVC","inchoative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
