docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#188;1376-1532;2_PROSA_DA BARBERINO_REALI DI FRANCIA;PROSA;Andrea da Barberino;I reali di Francia;XV;toscano;Melano a uno miglio , e lasciarono Pavia a mano sinistra , e non vi andorono , perché allora era;mezza abbandonata;"; e udirono sonare a Melano una campana . Disse Sansone : "" Noi saremo assaliti , e quello ène";ev
doc#296;1533-1691;3_PROSA_BANDELLO_NOVELLE;PROSA;Matteo Bandello;Novelle;1554-73;;avesse pietà . La donna lo lasciò buona pezza cicalare , senza dirgli motto alcuno . A la fine ,;mezza adirata;, gli disse : - Teodoro , se tu vai dietro a queste tue pazzie , io mi ritirerò ne;ev
doc#526;1841-1947;5_POES_GRAF_POESIE;POESIA;Arturo Graf;Poesie;1922;;, Per la voglia mendica Che vorrebbe e non può . Sempre ti dieder noja L ' afa , la;mezza altezza;, E quella gran tristezza Che s ' intitola gioja . Sempre ti furon tedio Il peso , la misura;non_ev
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;"rasoio ; anche fra essi vi erano i novizi , che si chiamavano fratelli minori , e dovevano pagare una";mezza annata;sul primo loro furto , portare ambasciate ai fratelli maggiori , sia nelle prigioni , sia nelle carceri , ed;non_ev
doc#353;1692-1840;4_ESP_LEOPARDI_ZIBALDONE;ESPOSITIVI;Giacomo Leopardi;Zibaldone;1832;;dottrina , e coltura ec . 2 . com ' è naturale ad un ritrovato , a un frutto della;mezza anzi;corrotta civiltà . Il Cristianesimo nella sua perfezione ( e la natura , la proprietà , gli effetti delle cose;-
doc#558;1841-1947;5_PROSA_TOZZI_CON GLI OCCHI CHIUSI;PROSA;Federigo Tozzi;Con gli occhi chiusi;1919;;": "" Con quelle braccia ! "" . Disse Ceccaccio : "" Fate lesti , figlioli "" . Dalla porta";mezza aperta;si vedeva la strada . E passò una giovine . Ceccaccio la chiamò , con un fischio . Disse Pipi;ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;ordine che felicità . Perché i fanti , arrivati a grande ora del dì , trovorno la porta di Codalunga;mezza aperta;", perché poco innanzi erano per sorte entrati dentro per quella alcuni contadini con carri carichi di fieno ; in";ev
doc#513;1841-1947;5_POES_CAVALLOTTI_IL LIBRO DEI VERSI;POESIA;Felice Cavallotti;Il libro dei versi;1894;;angusta non basta più ! Così di un monco distico a stento Forza è che ognuna contenta sia : Di;mezza apostrofe;, mezzo lamento , Mezza preghiera , mezza eresia : Così il poeta questa rimorde De la sua vita triste;non_ev
doc#9;XIII cent.-1375;1_ESP_JACOPO DELLA LANA_COMMENTO ALLA COMMEDIA;ESPOSITIVI;Jacopo della Lana;Commento alla Commedia di Dante Alighieri;1324-1328;emiliano;in Gelboè , Che poi non sentì pioggia nè rugiada ! O folle Aragne , sì vedea io te Già;mezza aragna;, trista in su gli stracci Dell ' opera che mal per te si fe ' O Roboam , già;non_ev
doc#258;1533-1691;3_PERS_GALILEO_LETTERE;PERSONALI;Galileo Galilei;Lettere;XVII;;Aristotele ) , perché se fusse superiore al sole , non si vedrebbe mai falcata , ma sempre più di;mezza assaissimo;, e quasi sempre perfettamente rotonda . E l ' istesse mutazioni son sicuro che vedremo fare a Mercurio .;-
