docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#139;1376-1532;2_POES_BEMBO_RIME;POESIA;Pietro Bembo;Rime;1530;toscano;"contento a la sua ferma e disperata noia ; un cacciar tigri a passo infermo e lento , e dar";semi a;"l ' arena , e pur col mare prati rigar , e nutrir fiori al vento ; le guerre spesse";-
doc#262;1533-1691;3_PERS_SASSETTI_LETTERE;PERSONALI;Filippo Sassetti;Lettere;XVI;;de ' Semplici , sono andato quest ' anno veggendo certe poche piante , e medicine , delle quali mando;semi a;S.A . con quel poco , che in poco tempo ho potuto saperne . Ho per questo effetto comprato un;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;co ' fiori i suoi flagelli ? In India no , ma ne ' giardin celesti 140 portasti i primi;semi a;' tuoi natali tu , che del tuo gran Re tragici e mesti spieghi in picciol teatro i funerali .;-
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;d ' intraprendere : somministrò così ad esso i mezzi di farsi forte nel bene . Negletti que ' fecondi;semi a;lui posti nell ' anima e soffocate nella ignavia le buone disposizioni dello spirito e del cuore , l ';-
doc#387;1692-1840;4_POES_METASTASIO_CANTATE E POESIE;POESIA;Pietro Metastasio;Cantate e poesie;XVIII;;, e fu minaccia ? E minaccia pietosa , e che di cento Lieti eventi , o Teresa , i;semi abbraccia;"; Che a te prova il favor degli astri amici , Che più saggi noi rende e più felici .";-
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;queste pasciute poi dalle vacche , dalle capre e dalle pecore , possano introdurre nel latte e nel formaggio quei;semi abili;"in progresso di tempo a produrre i vermi ; e certo tale opinione a molti non ispiace , né io";-
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;"vitello sopra uno strato di timo e di cassia s ' adagiasse ; imperocché il timo e la cassia contengono";semi abilissimi;"alla generazione delle pecchie ; i quali tutti spiritosi e odoriferi , penetrando nel fracidume di quel cadavero , lo";-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;senz ' offesa il guardo gode . Di minio e d ' oro un fulgido baleno vibra e gemme per;semi accoglie;in seno . Nela scorza lucente e colorita , 46 il cui folgore lieto i lumi abbaglia , la diva;-
doc#264;1533-1691;3_POES_ALAMANNI_DELLA COLTIVAZIONE;POESIA;Luigi Alamanna;Della coltivazione;XVI;;"di radici e d ' erbe Che soglion contro al giel restare in piede ; Or di piante e di";semi adempia;intorno . Perch ' è tepida l ' aria , e perché guarda Dal medesmo balcon , che nell ';-
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;, come ho detto di sopra , nascono i lor piccoli figliuoli . E se certuni scrivono che da ';semi aerei;e volanti per l ' aria e dall ' immondizie putrefatte si generino i ragni , io non posso indurmi;-
