docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos_base;lemma_base;construction;cent;form_base
doc#28;XIII cent.-1375;1_POES_BRUNETTO LATINI_TESORETTO;POESIA;Brunetto Latini;Tesoretto;1274;toscano;che Dio onnipotente volse tutto labore finir nello migliore : ca chi ben inconinza audivi per sentenza ched ha bon;mezzo fatto;"; ma guardi , puoi dal tratto , ca di reo compimento aven dibassamento di tutto ' l convenente ;";adj;fatto;mezzo;1200;fatto
doc#26;XIII cent.-1375;1_POES_BOCCACCIO_CACCIA DI DIANA;POESIA;Giovanni Boccaccio;Caccia di Diana;1334;toscano;fer vicine all ' un degli orsi , e ' n sulla testa sì forte i donaro , che cadde;semivivo;"; e l ' altro poi con più vigore i lor cani addentaro . Ciascuna con romore atava i suoi";adj;vivo;semi-;1300;vivo
doc#82;XIII cent.-1375;1_PROSA_GUIDO DA PISA_I FATTI DI ENEA;PROSA;Guido da Pisa;Fatti di Enea;1337;toscano;feciono li mucchi d ' arme e di cavalli e d ' uomini morti , e stavano mescolati insieme li;mezzi morti;"con esso li morti . Veggendo questo Cammilla , trasse là e misesi alla battaglia ; e ora senza nulla";noun;morto;mezzo;1300;morti
doc#83;XIII cent.-1375;1_PROSA_JACOPO PASSAVANTI_SPECCHIO E ALTRE OPERE;PROSA;Jacopo Passavanti;Specchio della vera penitenza;1355;toscano;"terra ; si che Cartagine sarà il premio di chi vincerà , e non le castella d ' Abruzzi ,";mezze rotte;e guaste . È non è da temere che mentre che io vo in Africa con l ' oste ,;adj;rotto;mezzo;1300;rotte
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;"disse : "" Se questa fosse la camera di Filippo , "" cioè del giovane suo vicino "" io sarei";mezza fornita;". "" E cautamente da una sua fante , a cui di lei incresceva , ne fece spiare , e";adj;fornito;mezzo;1300;fornita
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;La donna , udendo queste cose e intera fede prestandovi , parendole il suo amante già riaver nelle braccia ,;mezza lieta;"divenuta disse : "" Non dubitare , che queste cose farò io troppo bene ; e ho il più bel";adj;lieto;mezzo;1300;lieta
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;esser mossa si stette . Venuto il giorno chiaro e alquanto la tempesta acchetata , la donna , che quasi;mezza morta;era , alzò la testa e così debole come era cominciò a chiamare ora uno e ora un altro della;adj;morto;mezzo;1300;morta
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;queste cose aver fatte a me : e se voi il porrete ben mente nel viso , egli è ancora;mezzo ebbro;. Ma tuttavia , che che egli s ' abbia di me detto , io non voglio che voi il;adj;ebbro;mezzo;1300;ebbro
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;"avessi nulla ? "" Disse Buffalmacco : "" Sì , potrestù aver cavelle , non che nulla : tu par";mezzo morto;". "" A Calandrino pareva già aver la febbre ; e ecco Bruno sopravenire , e prima che altro dicesse";adj;morto;mezzo;1300;morto
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;quel serbatosi e presone un altro il quale sconciamente magagnato Lidia aveva in mano , a lui doloroso e quasi;mezzo morto;"il mostrarono , dicendo : "" Vedi quello che tu hai tenuto in bocca già è cotanto . "" Egli";adj;morto;mezzo;1300;morto
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;"amor di Dio ; ché , se io sapessi pure chi l ' ha avuto , sì mi parrebbe essere";mezzo consolato;". "" "" Or via , "" disse Bruno "" io sono acconcio d ' andare infino a Firenze per";adj;consolato;mezzo;1300;consolato
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;perché io nol mi faccia . Chi il saprà ? Egli nol saprà persona mai , e peccato celato è;mezzo perdonato;. Questo caso non avverrà forse mai più : io estimo ch ' egli sia gran senno a pigliarsi del;adj;perdonato;mezzo;1300;perdonato
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;bene : per che l ' abate , veggendola averlo ascoltato e dare indugio alla risposta , parendogliele avere già;mezza convertita;, con molte altre parole alle prime continuandosi , avanti che egli ristesse , l ' ebbe nel capo messo;verb;convertire;mezzo;1300;convertita
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;che il cappellan le desse e non da altrui , e tornasse di presente a casa . Alla donna pareva;mezzo avere;"inteso ; ma senza altro dire rispose che sì farebbe . Venuta la mattina della pasqua , la donna si";verb;avere;mezzo;1300;avere
doc#53;XIII cent.-1375;1_POES_PETRARCA_CANZONIERE;POESIA;Francesco Petrarca;Canzoniere - Rerum Vulgarium Fragmenta;1374;toscano;stil coll ' altro misto : di che sarebbe Enea turbato et tristo , Achille , Ulixe et gli altri;semidei;, et quel che resse anni cinquantasei sì bene il mondo et quel ch ' ancise Egisto . Quel fior;noun;dio;semi-;1300;dei
doc#106;1376-1532;2_ESP_SIGOLI_VIAGGIO AL MONTE SINAI;ESPOSITIVI;Simone Sigoli;Viaggio al monte Sinai;1390;toscano;"profferte a questo suo compagno . Disse il soldano : "" Or vedi , fratel mio , questa signoria è";mezza mia;e mezza tua , e così voglio che sia , ma ancora ci resta a fare alcuna cosa . Io;poss;mio;mezzo;1300;mia
